0.5 0.3; 30.15174507 29.32663126 30.56904401 -58.56790592; 0.19952083 0.19996187 0.19996137 0.1993967
0.5 0.3; 30.15781487 29.29969651 30.59180577 -58.51062215; 0.19950166 0.19996034 0.19995983 0.19937257
0.5 0.3; 30.16388467 29.27276176 30.61456753 -58.45333839; 0.19948249 0.19995882 0.19995828 0.19934844
0.5 0.3; 30.16995448 29.24582701 30.63732929 -58.39605463; 0.19946333 0.19995729 0.19995674 0.19932431
0.5 0.3; 30.17602428 29.21889226 30.66009105 -58.33877086; 0.19944416 0.19995577 0.19995519 0.19930017
0.5 0.3; 30.18209408 29.19195751 30.68285281 -58.2814871; 0.19942499 0.19995424 0.19995365 0.19927604
0.5 0.3; 30.18816388 29.16502276 30.70561457 -58.22420334; 0.19940582 0.19995271 0.1999521 0.19925191
0.5 0.3; 30.19423369 29.13808801 30.72837633 -58.16691958; 0.19938666 0.19995119 0.19995056 0.19922778
0.5 0.3; 30.20030349 29.11115326 30.75113809 -58.10963581; 0.19936749 0.19994966 0.19994901 0.19920365
0.5 0.3; 30.20637329 29.08421851 30.77389985 -58.05235205; 0.19934832 0.19994814 0.19994747 0.19917951
0.5 0.3; 30.2124431 29.05728376 30.79666161 -57.99506829; 0.19932916 0.19994661 0.19994592 0.19915538
0.5 0.3; 30.2185129 29.03034901 30.81942337 -57.93778452; 0.19930999 0.19994509 0.19994438 0.19913125
0.5 0.3; 30.2245827 29.00341426 30.84218513 -57.88050076; 0.19929082 0.19994356 0.19994283 0.19910712
0.5 0.3; 30.2306525 28.97647951 30.86494689 -57.823217; 0.19927166 0.19994204 0.19994129 0.19908299
0.5 0.3; 30.23672231 28.94954476 30.88770865 -57.76593323; 0.19925249 0.19994051 0.19993974 0.19905886
0.5 0.3; 30.24279211 28.92261002 30.91047041 -57.70864947; 0.19923332 0.19993899 0.1999382 0.19903472
0.5 0.3; 30.24886191 28.89567527 30.93323217 -57.65136571; 0.19921416 0.19993746 0.19993665 0.19901059
0.5 0.3; 30.25493171 28.86874052 30.95599393 -57.59408194; 0.19919499 0.19993594 0.19993511 0.19898646
0.5 0.3; 30.26100152 28.84180577 30.97875569 -57.53679818; 0.19917582 0.19993441 0.19993356 0.19896233
0.5 0.3; 30.26707132 28.81487102 31.00151745 -57.47951442; 0.19915665 0.19993289 0.19993202 0.1989382
0.5 0.3; 30.27314112 28.78793627 31.02427921 -57.42223065; 0.19913749 0.19993136 0.19993047 0.19891406
